distMpc z
13250.6315 1.7209
10786.3159 1.4555
57670.6359 5.8856
59921.0692 6.0827
27519.5852 3.1439
22076.282 2.6174
39320.2406 4.2443
62091.4559 6.2722
5202.1346 0.8051
25850.0887 2.984
4913.9505 0.7684
32048.614 3.5718
99197.6379 9.4329
9074.637 1.2651
23167.4555 2.7243
28286.1146 3.217
11581.9093 1.5422
49750.6605 5.1852
7076.4641 1.0339
69982.3371 6.9561
17722.5617 2.1835
13890.2603 1.7885
26429.0827 3.0396
83695.8133 8.128
17022.6996 2.1124
27986.538 3.1885
10507.8825 1.4249
16651.3618 2.0745
23430.0525 2.7498
17499.6521 2.161
28614.5286 3.2481
53528.4599 5.5206
23224.8647 2.7298
78123.2475 7.654
9733.2441 1.3391
32160.7884 3.5823
38143.1074 4.1364
36390.59 3.9752
44763.5493 4.7382
16217.9119 2.0301
21559.795 2.5667
8041.7165 1.1469
24611.3714 2.8645
7399.2335 1.072
20927.6894 2.5042
14738.8947 1.8773
34572.312 3.807
69830.3454 6.9429
47017.5055 4.9409
24340.8581 2.8384
17017.7928 2.112
29865.0567 3.3666
39761.3297 4.2846
13421.6699 1.739
14000.664 1.8
10774.4613 1.4543
7772.8397 1.1158
35122.4829 3.858
33170.3077 3.6766
20808.4502 2.4924
7723.05 1.1099
16669.9485 2.0764
19967.4226 2.4089
25752.3651 2.9747
15519.7148 1.9583
107324.4819 10.1102
8989.8177 1.2554
10190.0875 1.3899
6499.3135 0.9649
9818.3926 1.3485
27036.8978 3.0979
36857.1459 4.0183
20159.372 2.428
10144.0559 1.3847
78687.1749 7.7021
32576.776 3.6212
6291.839 0.9398
25423.1622 2.943
20591.4363 2.471
14195.1575 1.8204
32260.182 3.5917
32331.811 3.5983
7809.7923 1.12
6168.5053 0.9248
8745.9067 1.2277
9811.2171 1.3478
21181.6379 2.5293
19611.3489 2.3735
94272.3761 9.0204
7803.7745 1.1194
19796.7956 2.392
12214.36 1.6104
16400.2588 2.0488
40232.5764 4.3275
6862.8734 1.0086
24879.1713 2.8904
41081.2717 4.4048
28112.6267 3.2005
20282.1129 2.4402
9735.931 1.3394
53249.2911 5.4958
7341.4207 1.0653
6788.3409 0.9997
32216.3588 3.5875
5490.5176 0.8413
13342.2489 1.7307
15250.0636 1.9304
6152.0984 0.9228
41161.5216 4.4121
19903.1623 2.4026
19263.1825 2.3386
92324.1115 8.8567
20701.4178 2.4819
14108.3456 1.8114
12719.9805 1.6645
12329.0174 1.6227
36515.2994 3.9867
21354.8878 2.5465
23417.7344 2.7487
62713.587 6.3265
29402.7315 3.3228
24157.2995 2.8205
19515.2147 2.3638
65899.954 6.6033
11117.3191 1.4917
31927.9459 3.5606
14607.454 1.8636
21579.0822 2.5686
83785.4342 8.1357
7182.0484 1.0465
11868.6865 1.5733
46425.6194 4.8877
9675.9561 1.3326
65469.7043 6.5659
29425.9851 3.3251
61912.5035 6.2566
27925.6207 3.1827
15442.3212 1.9503
28185.1599 3.2073
11387.3993 1.5212
61903.3278 6.2558
13210.9938 1.7167
19983.4922 2.4106
4750.9695 0.7476
23465.9851 2.7534
23160.2807 2.7235
14300.207 1.8315
24665.1077 2.8697
23290.4986 2.7363
12870.1595 1.6805
34172.7332 3.77
5553.8812 0.8491
29096.4199 3.2938
36899.4952 4.0221
17245.6904 2.1351
55895.3632 5.7294
8144.7248 1.1588
14346.0851 1.8362
10960.7461 1.4747
24697.1501 2.8729
7585.1647 1.0938
5906.2611 0.8928
20471.4582 2.459
38497.5675 4.1689
8952.7554 1.2512
37824.9575 4.1072
19446.1596 2.3569
30337.8138 3.4112
76404.4118 7.5072
17680.1178 2.1793
16150.7067 2.0232
10905.8991 1.4687
13742.9562 1.773
26767.2364 3.072
22936.9857 2.7018
16799.1626 2.0896
42798.8218 4.5607
65241.4232 6.5461
2938.1514 0.5027
74972.749 7.3848
12488.7132 1.6399
11728.8504 1.5581
7417.1053 1.0741
58387.5229 5.9485
108718.0073 10.2258
33406.3589 3.6987
7580.8903 1.0934
7813.2315 1.1204
15103.4648 1.9151
4394.9479 0.7014
32030.4569 3.5701
47880.5523 5.0182
28576.6105 3.2445
9377.9798 1.2993
13822.7544 1.7813
15374.6507 1.9432
43576.9231 4.6311
34292.2264 3.7811
59750.737 6.0678
5520.9774 0.845
10924.1762 1.4707
13965.4339 1.7963
16965.7933 2.1067
38356.8296 4.156
14087.3708 1.8092
26990.8847 3.0934
12439.1805 1.6345
39552.2086 4.2655
26087.3182 3.0069
17040.366 2.1143
7283.6965 1.0584
11380.0355 1.5204
42117.0454 4.4989
9712.6492 1.3368
6351.2144 0.947
16355.3749 2.0442
17619.9324 2.1732
20546.0549 2.4665
52244.6205 5.4069
22029.4449 2.6128
6279.4834 0.9384
35221.8373 3.8672
20843.8079 2.496
39236.0261 4.2366
13918.7996 1.7914
10942.4585 1.4727
14408.2485 1.8428
18052.7464 2.217
42082.878 4.4958
8604.7135 1.2116
15712.4875 1.9782
16843.2468 2.0941
37371.1424 4.0655
37092.8526 4.04
25496.8476 2.9501
34875.3196 3.8352
24219.1527 2.8266
5644.7771 0.8605
56614.5855 5.7927
53629.0874 5.5294
45092.1102 4.7679
25711.8342 2.9707
22715.0046 2.6801
61216.6729 6.1959
28957.1275 3.2807
25118.3384 2.9135
14823.4205 1.8861
32417.3631 3.6063
17452.362 2.1561
10275.9307 1.3994
18862.1045 2.2984
17589.3579 2.17
17283.0612 2.1389
37896.8415 4.1139
13486.9653 1.7459
32112.7079 3.5779
25755.4832 2.975
33358.0595 3.6942
22199.5482 2.6296
26566.7826 3.0528
18614.2856 2.2736
51128.2635 5.3078
16198.4277 2.0282
45184.2868 4.7762
5831.5344 0.8835
8155.1259 1.1601
12964.1674 1.6905
16662.1222 2.0756
36055.7459 3.9444
15863.8591 1.9937
30794.4672 3.4541
19901.1547 2.4024
83718.2178 8.1299
11615.1516 1.5458
5972.2145 0.9009
10722.5103 1.4486
17986.4405 2.2102
26828.8727 3.0779
32812.3214 3.6433
34673.6395 3.8165
21403.5543 2.5513
6206.2749 0.9294
145745.0314 13.2629
15371.7515 1.9429
44480.7068 4.7127
31468.2044 3.5175
42581.3614 4.5411
15020.6179 1.9065
22379.0105 2.6471
36229.0833 3.9604
13900.7236 1.7895
18575.5134 2.2696
39552.2086 4.2655
30134.1833 3.392
25261.3594 2.9274
9936.0245 1.3617
7083.2123 1.0348
58412.6126 5.9507
20337.481 2.4457
20812.4906 2.4928
20622.7071 2.4741
12176.1805 1.6063
11583.7557 1.5425
13920.7026 1.7916
24362.526 2.8405
21377.1914 2.5486
66693.0927 6.6719
21417.7515 2.5526
23632.397 2.7696
30432.2619 3.42
15998.9206 2.0076
11162.2552 1.4967
14479.0704 1.8501
13984.4755 1.7983
7944.996 1.1358
61212.0901 6.1955
54536.7261 5.6097
22253.5702 2.6349
32717.0081 3.6343
20549.0799 2.4668
32187.5035 3.5848
20957.0084 2.5072
17953.7955 2.2069
13149.6878 1.7103
5787.7645 0.8781
4027.0487 0.6528
7337.1733 1.0648
19265.181 2.3388
10102.5688 1.3801
21545.5848 2.5652
30618.079 3.4375
61839.1016 6.2503
29523.2521 3.3342
8369.77 1.1847
38119.1266 4.1342
20225.7598 2.4346
55621.7786 5.7054
3265.1998 0.5488
32806.9658 3.6427
20484.5603 2.4604
118845.9367 11.0633
22305.5704 2.6399
9871.3409 1.3544
15445.2224 1.9506
5170.4708 0.8011
39150.7386 4.2287
25132.843 2.915
3643.5822 0.601
12919.0297 1.6858
53800.99 5.5446
19726.5976 2.3849
28285.0628 3.2168
11788.0846 1.5646
24499.8145 2.8537
20408.9873 2.4529
27029.5769 3.0972
15788.1457 1.986
94072.2758 9.0036
12246.968 1.6139
24279.9954 2.8325
20881.1951 2.4996
12694.6663 1.6619
133695.8423 12.2817
49215.7401 5.1375
45213.1656 4.7787
83107.5897 8.0782
3917.912 0.6381
10002.5832 1.3691
7165.1343 1.0445
23247.4236 2.7321
6057.1145 0.9113
41973.7832 4.4859
25719.1084 2.9714
35416.3207 3.8853
9576.7416 1.3216
20446.2651 2.4566
10362.806 1.4089
38092.9678 4.1319
24715.7579 2.8746
28708.2974 3.2571
25395.1483 2.9402
35245.6008 3.8695
26618.9656 3.0579
16015.4508 2.0093
10189.1846 1.3898
5602.1063 0.8551
20874.1211 2.4989
26890.5271 3.0838
39391.3466 4.2508
14656.363 1.8686
27495.4776 3.1416
11560.6797 1.5399
100222.0131 9.5185
16795.2448 2.0892
16054.3557 2.0133
15667.8947 1.9735
29931.7809 3.3729
15787.1753 1.9858
58344.1885 5.9447
40826.3465 4.3816
14384.3345 1.8402
47168.1117 4.9543
15044.694 1.909
17492.7545 2.1603
115450.9211 10.7833
21996.8706 2.6096
19980.479 2.4103
17759.095 2.1873
11004.6578 1.4794
43288.2726 4.6051
24556.6176 2.8592
46078.2183 4.8566
49029.7253 5.1208
35241.28 3.8691
43954.3623 4.6653
6623.9445 0.9799
25816.8157 2.9809
14925.3354 1.8966
49260.5739 5.1414
14728.3343 1.8761
8625.7338 1.2141
27177.0899 3.1113
1822.1862 0.3352
21134.0536 2.5246
8826.7793 1.2369
35100.8885 3.8561
26909.3406 3.0856
10092.6525 1.3791
18253.8595 2.2372
123474.5905 11.4443
24236.6816 2.8283
49424.2536 5.156
18227.0918 2.2346
15837.6444 1.991
25135.9512 2.9152
30980.552 3.4716
25088.2967 2.9106
16052.4101 2.0131
5371.4241 0.8264
39369.4663 4.2488
21874.7756 2.5976
4754.8548 0.748
34979.9883 3.8449
46833.5008 4.9243
19988.5143 2.411
6213.67 0.9304
40651.7369 4.3658
51580.8156 5.3479
15331.1723 1.9387
14142.6787 1.815
11488.7328 1.5321
13792.3464 1.7781
14338.4371 1.8355
35281.2495 3.8727
55011.526 5.6516
9117.1013 1.2698
12178.9734 1.6066
