m1_source m2_source
36 25
7 6
46 9
8 6
31 27
20 17
18 5
19 15
13 7
8 7
8 8
8 8
42 40
16 15
45 39
8 6
30 21
45 27
9 6
15 14
17 14
47 40
26 19
23 18
19 16
36 23
18 9
13 10
13 13
17 16
10 8
34 27
32 12
16 7
13 12
29 25
15 13
33 26
20 19
39 38
17 15
22 17
24 24
13 10
17 13
22 8
9 7
44 43
17 15
23 16
33 27
19 19
24 14
38 38
21 15
37 25
31 31
8 8
16 14
25 24
31 31
8 7
16 15
19 18
14 13
33 23
18 15
8 7
20 14
28 24
14 12
34 25
23 17
37 21
8 8
17 12
17 11
40 39
23 19
8 6
24 23
37 27
22 19
18 18
18 16
16 11
32 26
8 8
17 16
22 21
26 20
20 18
7 5
8 7
16 10
14 13
17 17
60 34
8 6
38 35
16 14
7 6
26 22
23 18
44 38
31 17
17 16
33 31
32 27
8 5
29 22
24 20
13 9
18 17
8 8
15 13
20 18
35 26
37 36
26 17
17 8
19 15
20 18
26 22
17 14
19 12
6 5
40 29
8 8
9 4
31 18
15 12
8 6
16 14
27 23
16 14
13 9
28 23
44 43
52 40
18 13
29 23
19 18
8 8
14 11
24 20
30 25
34 15
20 15
45 43
33 28
30 23
8 8
12 8
22 19
8 5
14 12
23 17
30 30
28 22
29 27
14 12
28 26
47 26
18 7
19 17
18 18
22 18
18 14
22 20
10 9
20 14
34 24
21 18
32 31
8 8
42 35
33 26
12 10
14 13
6 6
8 7
25 16
15 13
30 24
8 7
33 28
20 19
8 7
13 12
26 20
14 7
22 21
8 7
26 26
63 29
10 10
18 17
32 25
40 29
19 19
54 44
31 18
18 17
19 18
21 21
29 28
22 20
37 28
31 23
21 21
15 10
32 27
19 18
22 12
39 38
21 19
15 15
12 6
33 31
14 12
33 31
32 28
7 7
16 16
8 7
15 10
19 18
20 16
9 6
33 21
37 36
6 6
20 19
41 39
24 17
10 8
31 30
8 8
29 21
14 6
7 7
18 16
33 28
18 14
8 7
8 7
6 6
34 31
22 17
24 19
24 20
40 23
22 18
14 13
15 14
23 16
22 18
20 15
22 21
8 7
44 43
12 8
31 26
23 16
5 5
17 14
10 7
15 12
18 16
46 32
31 11
18 16
19 16
8 8
43 31
18 14
17 14
44 34
8 8
8 5
36 24
16 10
20 19
12 9
28 24
8 6
41 36
15 13
26 20
27 21
34 32
21 12
29 21
23 20
25 22
8 7
34 31
44 42
28 22
11 10
14 7
8 8
16 13
34 27
58 57
26 11
17 16
69 24
8 6
23 20
28 28
32 29
21 20
8 8
35 34
22 16
7 5
35 29
7 5
18 10
15 12
32 29
11 6
25 21
11 8
8 6
8 7
7 7
23 19
7 6
42 27
43 40
34 24
8 7
40 40
23 19
8 5
22 22
35 33
43 40
34 34
20 19
8 8
28 21
32 24
39 38
16 14
8 8
6 5
12 8
45 26
37 11
26 24
24 22
27 6
10 9
30 20
39 16
35 30
18 17
32 22
8 6
8 8
15 12
17 15
18 14
32 25
37 36
32 27
24 24
17 14
33 32
9 8
20 15
41 25
6 3
33 26
32 30
35 31
30 30
34 32
37 37
20 17
24 23
8 8
13 10
13 12
14 14
45 44
37 36
27 24
14 10
32 25
16 16
24 21
23 13
14 8
14 11
31 30
18 14
21 20
42 33
16 15
21 18
36 32
19 19
40 38
25 21
23 19
8 8
16 15
21 20
34 31
25 19
30 19
33 16
16 14
19 16
40 39
20 18
19 12
10 9
21 20
22 21
24 22
19 15
44 33
17 14
8 7
8 8
30 24
14 12
15 15
8 8
39 30
37 22
6 6
29 17
31 23
26 22
48 42
14 11
32 21
26 14
29 21
9 8
20 17
8 8
14 10
17 16
14 11
7 7
31 13
23 16
8 5
34 13
22 15
33 31
14 8
23 20
27 23
16 16
27 13
25 20
8 8
39 34
16 15
7 5
37 26
36 30
23 20
42 42
33 19
14 11
34 30
25 22
18 12
33 28
8 8
26 20
33 32
21 19
8 8
15 11
17 16
21 20
13 13
16 15
21 20
33 22
44 36
24 23
13 9
21 12
18 11
8 4
8 8
36 21
20 17
15 15
8 5
23 20
51 48
16 11
29 24
13 8
29 23
23 5
32 25
8 7
33 33
33 30
8 5
31 30
27 26
24 21
21 19
20 15
35 35
22 19
15 11
28 25
37 36
23 22
24 17
18 15
23 19
19 15
24 23
15 13
15 12
7 7
26 20
17 15
22 16
15 15
26 14
10 6
8 3
17 16
28 18
14 12
8 6
20 17
22 14
5 5
21 19
30 27
24 21
12 8
15 12
77 60
16 10
20 16
20 16
24 19
14 12
36 28
24 23
16 13
18 15
36 33
12 10
34 29
29 28
46 40
17 15
22 17
10 7
26 22
23 11
33 24
7 5
24 17
26 22
12 10
32 32
17 13
11 9
36 14
24 16
32 29
19 18
8 8
31 28
56 51
19 19
10 8
22 19
20 18
34 30
14 10
23 22
24 18
18 18
11 9
13 10
29 27
29 26
22 21
6 6
20 14
34 23
17 12
8 8
31 17
20 8
8 8
16 14
20 16
21 16
45 40
25 17
60 19
29 26
11 8
15 7
20 19
15 11
24 23
13 12
34 30
27 24
21 16
17 15
30 30
16 9
15 10
24 23
23 14
13 8
29 29
17 16
19 16
8 8
56 53
27 26
16 15
10 7
20 16
11 10
10 8
40 36
8 7
34 26
32 31
32 30
17 17
36 36
8 5
17 7
8 7
29 23
17 13
25 22
35 32
22 20
12 10
8 8
18 16
15 12
22 18
15 8
8 8
34 31
30 8
33 21
8 8
12 10
8 8
57 40
28 18
26 17
8 8
28 19
15 11
57 37
9 6
23 17
28 24
27 23
18 5
19 19
30 23
8 7
17 9
23 20
48 48
58 44
15 9
45 34
41 34
32 31
35 34
49 43
34 32
23 16
22 19
18 14
34 34
18 12
34 32
18 18
8 7
8 8
13 12
13 12
14 11
42 42
11 8
8 7
20 18
16 7
15 11
31 27
10 9
26 18
14 7
30 29
7 6
15 15
8 8
30 25
8 8
37 27
20 19
16 12
23 21
7 6
22 18
40 31
16 7
19 16
5 4
14 12
8 8
16 8
16 12
33 31
16 15
15 15
22 19
16 12
8 5
40 33
9 8
23 20
8 7
30 25
7 6
14 12
8 8
20 16
35 33
20 19
7 6
38 23
8 7
8 8
31 8
20 18
24 22
45 38
31 9
22 21
25 23
22 20
14 9
26 23
22 21
11 9
29 28
30 29
8 7
7 5
40 27
15 13
15 13
41 29
16 14
27 20
17 16
8 6
7 3
21 19
38 34
9 6
23 17
58 34
7 7
9 6
35 17
7 6
36 33
19 17
19 17
30 26
39 35
21 21
24 21
17 14
23 19
42 32
24 19
63 44
11 9
10 8
24 18
25 20
13 7
54 44
31 25
21 19
18 17
27 23
30 29
33 32
30 23
16 16
20 19
20 15
19 17
46 36
