id t0 tc mz1 mz2 s1 s1x s1y s1z s2 s2x s2y s2z lambda1 lambda2 z distMpc ra decl psi inc phi0 snrET_Opt snrCE_Opt type
32771 1001247662.44053 1001247669.88242 100.279488 85.251263 0.1235 0.013183 -0.029315 0.119244 0.0334 -0.006144 0.006149 0.032249 0.0 0.0 3.4914 31190.1931 -2.388876 -1.212815 4.136985 2.414877 1.520339 22.348048 85.887875 3
32784 1001247893.63311 1001247957.43047 38.629408 28.254866 0.1867 0.064595 0.170024 0.042145 0.1618 -0.008336 0.036563 0.157394 0.0 0.0 1.1966 8472.6809 -2.488996 0.966719 4.483828 2.24702 1.528095 68.361119 58.891119 3
32805 1001248621.12121 1001248628.32812 152.503365 104.892501 0.7407 -0.359227 0.175262 -0.623599 0.0774 0.024846 -0.006664 0.073 0.0 0.0 2.5415 21305.2232 0.255604 -0.016123 4.569756 1.754009 4.406414 23.979555 27.599091 3
32825 1001249243.20422 1001249245.65209 311.852633 205.409477 0.1567 0.100325 -0.029027 0.116821 0.0772 0.011244 0.05021 0.057553 0.0 0.0 9.7118 102537.1595 -1.8916 -0.106997 5.900808 1.005322 0.849892 13.579226 35.492074 3
32841 1001249933.81903 1001249965.58051 41.308904 37.320676 0.1639 -0.114497 -0.094921 0.068875 0.2355 -0.213689 0.001859 0.098964 0.0 0.0 1.2609 9037.5106 -0.715894 0.758696 0.043117 2.22367 2.654796 32.672135 47.395815 3
32842 1001249970.09787 1001249977.30222 139.072936 124.487348 0.1198 0.006351 0.00748 0.119397 0.2668 -0.008202 -0.020256 0.265904 0.0 0.0 5.4538 52773.8045 0.045533 -0.477981 4.480237 0.576208 3.49509 31.633101 26.555259 3
32847 1001250164.49789 1001250179.95553 93.245417 85.707483 0.1554 -0.035087 0.014617 0.15068 0.152 0.030639 0.021059 0.147383 0.0 0.0 2.6521 22429.0092 -2.507011 -0.744257 1.515 2.934351 0.985657 30.862892 100.634323 3
32857 1001250372.37421 1001250387.86835 85.978037 79.89853 0.1254 -0.068544 0.035154 0.09895 0.0948 0.055147 -0.018715 0.074804 0.0 0.0 2.1225 17120.8804 1.439037 0.292243 5.4114 0.596519 2.937469 37.472872 110.805375 3
32860 1001250475.93925 1001250491.55839 73.401552 50.501556 0.1409 0.072111 0.0555 -0.107576 0.0368 0.023665 -0.002192 -0.028097 0.0 0.0 1.268 9101.1729 1.206325 -0.795305 1.103168 1.033111 2.825547 79.457885 50.806573 3
32861 1001250482.06421 1001250545.86744 33.459023 31.108652 0.0789 0.047257 0.013078 0.061814 0.1508 0.088771 0.030039 0.118144 0.0 0.0 2.7624 23558.4168 2.898087 0.384802 3.722632 1.2762 4.471655 11.561567 13.287561 3
32871 1001250908.28921 1001250909.84817 378.029813 377.890575 0.1829 0.010679 -0.061102 0.172061 0.2987 0.098987 -0.021524 0.280998 0.0 0.0 8.2825 85518.1551 2.356595 1.337613 4.909489 1.83813 0.764088 19.467085 25.70141 3
32873 1001250957.68059 1001251085.55779 21.277284 19.383138 0.2342 -0.096601 0.032666 0.210834 0.089 0.033057 -0.020222 0.08012 0.0 0.0 1.4362 10609.6454 1.360551 0.197218 2.281557 2.701209 5.56403 26.963691 79.824993 3
32929 1001252927.75004 1001253055.60795 24.578792 22.210631 0.211 -0.089788 0.017679 0.190123 0.108 0.006565 0.046378 0.097314 0.0 0.0 2.7824 23763.9934 1.905931 1.207305 1.534153 1.980988 4.204014 8.220279 20.95777 3
32935 1001252995.82141 1001253123.71228 18.453712 17.921307 0.0637 -0.010044 -0.035661 0.051818 0.0834 -0.065548 -0.048959 0.016184 0.0 0.0 1.3138 9508.0257 2.472372 0.284057 0.32338 2.334737 0.272535 18.206217 57.979369 3
32937 1001253224.81275 1001253240.45118 63.257396 53.825101 0.182 0.120851 -0.041654 0.129553 0.2048 0.060783 0.130369 0.145782 0.0 0.0 2.2458 18338.1653 1.500905 0.866108 5.938164 1.986448 0.193091 11.582151 50.173136 3
32940 1001253445.40984 1001253509.19341 37.217996 34.145066 0.2177 -0.122647 0.17456 -0.043358 0.1087 -0.023615 0.103872 -0.021649 0.0 0.0 3.3232 29405.9023 -0.220695 0.027882 0.08083 0.765236 2.733739 10.456827 21.362997 3
32942 1001253499.69634 1001253563.54461 29.9056 20.610566 0.1273 -0.025471 0.051695 0.113508 0.1607 -0.062547 0.037155 0.14329 0.0 0.0 0.8691 5714.9666 3.100908 -0.310818 3.295386 1.297852 5.337544 21.362203 34.018307 3
32943 1001253550.24113 1001253581.97709 45.132748 42.631287 0.1515 0.004037 -0.008941 0.151182 0.0582 0.002337 -0.002957 0.058078 0.0 0.0 4.2179 39031.59 2.010546 1.248471 0.450314 0.337733 5.958911 17.26626 41.062758 3
32949 1001253861.97586 1001253863.18668 241.374085 163.966548 0.2784 -0.09418 -0.037926 0.259226 0.2919 0.101546 -0.031948 0.271797 0.0 0.0 6.9165 69524.135 -1.682315 -0.613817 5.4484 1.159565 0.091934 9.277306 39.051438 3
32956 1001253946.42546 1001253953.74968 119.814285 105.218103 0.1095 0.088454 0.059264 -0.025571 0.1308 -0.064644 0.112082 0.019171 0.0 0.0 4.277 39678.1044 -2.99357 0.277333 3.237107 0.288783 5.403925 35.911616 45.893306 3
32979 1001255017.33627 1001255032.91097 76.455958 62.809489 0.0871 0.011118 -0.00829 0.085989 0.2445 -0.027645 -0.239165 -0.042618 0.0 0.0 2.6688 22599.5262 -0.296289 -0.207727 0.113817 1.793368 2.849527 10.714318 22.936777 3
33000 1001255913.74742 1001255945.49669 54.88825 26.988116 0.1052 -0.078838 -0.069544 -0.003913 0.1929 -0.122274 0.069758 -0.131883 0.0 0.0 1.5355 11520.0849 2.439108 1.125636 5.643175 0.926126 5.320587 35.185012 85.917723 3
33001 1001255922.6188 1001255986.39382 45.773035 28.647251 0.0881 0.009858 0.000687 0.087544 0.2491 -0.011755 0.025347 0.247528 0.0 0.0 2.4992 20877.1528 -2.175624 -0.35772 1.420787 0.527082 4.822825 21.378792 46.511423 3
33002 1001255984.31525 1001255991.57209 127.183636 116.662255 0.23 0.01025 -0.207889 -0.097863 0.1416 -0.006518 -0.127977 -0.060249 0.0 0.0 4.4856 41970.4778 1.36299 -1.120961 1.57033 2.066798 0.117461 24.398029 29.251979 3
33040 1001257685.39736 1001257813.27395 20.264997 20.190097 0.0817 0.035966 0.041864 0.060239 0.2284 -0.066585 0.139187 0.168404 0.0 0.0 1.675 12818.5029 0.456746 1.026079 0.996595 0.61464 2.213304 17.637984 44.43587 3
33043 1001257871.07103 1001257886.6793 66.110674 61.620946 0.1271 0.023955 -0.021382 0.122977 0.2219 -0.012843 -0.054568 0.214702 0.0 0.0 2.8243 24195.4399 1.671014 0.645806 1.817972 1.973631 2.334547 12.232338 42.660447 3
33045 1001257887.38309 1001257951.19474 31.856128 30.761273 0.0161 0.01028 -0.011102 0.005504 0.1729 0.026946 -0.110563 0.130169 0.0 0.0 2.5227 21113.8094 0.89499 -1.286697 5.553461 0.488924 3.220773 32.186167 41.184474 3
33049 1001257998.14156 1001258013.6473 88.536355 74.717445 0.045 -0.03881 -0.017576 0.014488 0.1724 -0.121338 -0.109169 0.055505 0.0 0.0 3.6279 32648.4888 1.149254 0.22219 3.389288 1.746018 4.21021 12.147381 13.342698 3
33050 1001258018.3948 1001258025.76296 111.34328 93.201649 0.2215 -0.19043 0.021669 0.111037 0.1662 -0.011717 0.143331 0.083315 0.0 0.0 5.5446 53800.99 2.10927 -0.55528 5.27468 0.357381 2.05139 23.8958 32.248745 3
33051 1001257970.47569 1001258098.35862 20.990797 17.379118 0.1563 -0.097661 0.09325 -0.078718 0.186 0.014937 0.141872 0.119354 0.0 0.0 1.1381 7964.8401 -0.164121 0.773571 0.084666 2.658516 4.10725 30.970877 41.310648 3
